狼吃羊棋 · 棋谱
导出时间: 2026-08-24 19:20:49
先手: 狼 · 和棋步数限制: 300 步
———————————————
1. 狼 C5→C3 吃
2. 羊 D3→D4
3. 狼 B5→B3 吃
4. 羊 E3→E4
5. 狼 B3→B4
6. 羊 D4→C4
7. 狼 B4→A4
8. 羊 B2→B3
9. 狼 A4→C4 吃
10. 羊 E4→D4
11. 狼 C4→B4
12. 羊 D4→C4
13. 狼 C3→D3
14. 羊 A3→A4
15. 狼 D3→E3
16. 羊 C2→C3
17. 狼 E3→C3 吃
18. 羊 C1→C2
19. 狼 C3→D3
20. 羊 E2→E3
21. 狼 D3→B3 吃
22. 羊 C2→C3
23. 狼 B3→B1 吃
24. 羊 D1→C1
25. 狼 B1→B2
26. 羊 C1→C2
27. 狼 B2→B1
28. 羊 E1→E2
29. 狼 B1→C1
30. 羊 A1→B1
31. 狼 D5→D4
32. 羊 C3→D3
33. 狼 B4→B3
34. 羊 D3→C3
35. 狼 B3→B4
36. 羊 E3→E4
37. 狼 B4→B3
38. 羊 D2→D1
39. 狼 B3→B4
40. 羊 A2→A3
41. 狼 B4→B3
42. 羊 A3→A2
43. 狼 B3→B4
44. 羊 A4→A3
45. 狼 B4→A4
46. 羊 C4→C5
47. 狼 A4→A5
48. 羊 A3→B3
49. 狼 A5→C5 吃
50. 羊 C3→C4
51. 狼 D4→D3
52. 羊 B3→B4
53. 狼 C5→D5
54. 羊 E4→D4
55. 狼 D3→D2
56. 羊 D4→E4
57. 狼 D2→D3
58. 羊 E2→D2
59. 狼 D5→D4
60. 羊 A2→B2
61. 狼 D3→C3
62. 羊 D2→D3
63. 狼 D4→D5
64. 羊 E4→D4
65. 狼 C3→B3
66. 羊 D3→C3
67. 狼 D5→E5
68. 羊 D4→E4
69. 狼 E5→D5
70. 羊 C4→D4
71. 狼 D5→C5
72. 羊 C3→C4
73. 狼 C5→D5
74. 羊 C4→C5
75. 狼 B3→C3
76. 羊 B4→C4
77. 狼 C3→D3
78. 羊 C2→D2
79. 狼 C1→C2
80. 羊 C4→C3
81. 狼 D3→E3
82. 羊 D2→D3
83. 狼 E3→E2
84. 羊 D1→D2
85. 狼 C2→C1
86. 羊 B2→C2
87. 狼 C1→D1
88. 羊 B1→B2
89. 狼 E2→E4 吃
90. 羊 D3→E3
91. 狼 D1→E1
92. 羊 D2→E2
93. 狼 E1→D1
94. 羊 C2→D2
95. 狼 D1→C1
96. 羊 D2→C2
97. 狼 C1→D1
98. 羊 E2→D2
99. 狼 D1→E1
100. 羊 E3→D3
101. 狼 E1→D1
102. 羊 C2→C1
103. 狼 D1→E1
104. 羊 C1→D1
105. 狼 E1→E2
106. 羊 B2→C2
107. 狼 E2→E3
108. 羊 D2→E2
109. 狼 E4→E5
110. 羊 C3→C4
111. 狼 E5→E4
112. 羊 C4→B4
113. 狼 E4→E5
114. 羊 C2→C3
115. 狼 E5→E4
116. 羊 D1→D2
117. 狼 E4→E5
118. 羊 D2→C2
119. 狼 E5→E4
120. 羊 C2→B2
121. 狼 E4→E5
122. 羊 C3→C2
123. 狼 E5→E4
124. 羊 C5→C4
125. 狼 D5→C5
126. 羊 D3→D2
127. 狼 E3→D3
128. 羊 E2→E3
129. 狼 E4→E5
130. 羊 D4→E4
131. 狼 D3→C3
132. 羊 E3→D3
133. 狼 C5→D5
134. 羊 D3→D4
135. 狼 D5→C5
136. 羊 D2→D3
137. 狼 C5→B5
138. 羊 B2→B3
139. 狼 B5→A5
140. 羊 D4→D5
141. 狼 A5→B5
142. 羊 D5→D4
143. 狼 B5→A5
144. 羊 B4→A4
145. 狼 A5→B5
146. 羊 C4→B4
147. 狼 B5→A5
148. 羊 C2→D2
149. 狼 A5→B5
150. 羊 D4→C4
151. 狼 E5→D5
152. 羊 D3→D4
153. 狼 C3→D3
154. 羊 B3→C3
155. 狼 D3→E3
156. 羊 C3→D3
157. 狼 E3→E2
158. 羊 D3→E3
159. 狼 E2→E1
160. 羊 E3→E2
161. 狼 E1→D1
162. 羊 C4→C3
163. 狼 D5→C5
164. 羊 D4→C4
165. 狼 D1→C1
166. 羊 D2→C2
167. 狼 C1→B1
168. 羊 C2→B2
169. 狼 C5→D5
170. 羊 C4→D4
171. 狼 B5→C5
172. 羊 B4→C4
173. 狼 B1→C1
174. 羊 C3→C2
175. 狼 C5→B5
176. 羊 C4→B4
177. 狼 D5→C5
178. 羊 B4→C4
179. 狼 C5→D5
180. 羊 C4→D4
181. 狼 D5→C5
———————————————
结果: 对局进行中
