解析到 181 手
加载表: full
  手 方  招         前值    走后    最佳    判定        羊  备注
----------------------------------------------------------------------------
  1 狼  C5→C3吃    和棋         和棋    和棋    完美       14  吃:安全1/毒2
  2 羊  D3→D4     和棋         和棋    和棋    完美       14  着:胜0/和4/败0
  3 狼  B5→B3吃    和棋         和棋    和棋    完美       13  吃:安全1/毒1
  4 羊  E3→E4     和棋         和棋    和棋    完美       13  着:胜0/和7/败0
  5 狼  B3→B4     和棋         和棋    和棋    完美       13  吃:安全0/毒0
  6 羊  D4→C4     和棋         和棋    和棋    完美       13  着:胜0/和9/败0
  7 狼  B4→A4     和棋         和棋    和棋    完美       13  吃:安全0/毒2
  8 羊  B2→B3     和棋         和棋    和棋    完美       13  着:胜0/和9/败1
  9 狼  A4→C4吃    和棋         和棋    和棋    完美       12  吃:安全1/毒0
 10 羊  E4→D4     和棋         和棋    和棋    完美       12  着:胜0/和3/败8
 11 狼  C4→B4     和棋         和棋    和棋    完美       12  吃:安全0/毒0
 12 羊  D4→C4     和棋         和棋    和棋    完美       12  着:胜0/和6/败4
 13 狼  C3→D3     和棋         和棋    和棋    完美       12  吃:安全0/毒0
 14 羊  A3→A4     和棋         和棋    和棋    完美       12  着:胜0/和11/败0
 15 狼  D3→E3     和棋         和棋    和棋    完美       12  吃:安全0/毒1
 16 羊  C2→C3     和棋         和棋    和棋    完美       12  着:胜0/和14/败0
 17 狼  E3→C3吃    和棋         和棋    和棋    完美       11  吃:安全1/毒0
 18 羊  C1→C2     和棋         和棋    和棋    完美       11  着:胜0/和11/败2
 19 狼  C3→D3     和棋         和棋    和棋    完美       11  吃:安全0/毒0
 20 羊  E2→E3     和棋         和棋    和棋    完美       11  着:胜0/和16/败1
 21 狼  D3→B3吃    和棋         和棋    和棋    完美       10  吃:安全1/毒0
 22 羊  C2→C3     和棋         和棋    和棋    完美       10  着:胜0/和15/败4
 23 狼  B3→B1吃    和棋         和棋    和棋    完美        9  吃:安全1/毒0
 24 羊  D1→C1     和棋         和棋    和棋    完美        9  着:胜0/和16/败1
 25 狼  B1→B2     和棋         和棋    和棋    完美        9  吃:安全0/毒0
 26 羊  C1→C2     和棋         和棋    和棋    完美        9  着:胜0/和16/败5
 27 狼  B2→B1     和棋         和棋    和棋    完美        9  吃:安全0/毒0
 28 羊  E1→E2     和棋         和棋    和棋    完美        9  着:胜0/和18/败0
 29 狼  B1→C1     和棋         和棋    和棋    完美        9  吃:安全0/毒0
 30 羊  A1→B1     和棋         和棋    和棋    完美        9  着:胜0/和14/败1
 31 狼  D5→D4     和棋         和棋    和棋    完美        9  吃:安全0/毒0
 32 羊  C3→D3     和棋         和棋    和棋    完美        9  着:胜0/和15/败1
 33 狼  B4→B3     和棋         和棋    和棋    完美        9  吃:安全0/毒0
 34 羊  D3→C3     和棋         和棋    和棋    完美        9  着:胜0/和17/败0
 35 狼  B3→B4     和棋         和棋    和棋    完美        9  吃:安全0/毒2
 36 羊  E3→E4     和棋         和棋    和棋    完美        9  着:胜0/和15/败1
 37 狼  B4→B3     和棋         和棋    和棋    完美        9  吃:安全0/毒1
 38 羊  D2→D1     和棋         和棋    和棋    完美        9  着:胜0/和18/败0
 39 狼  B3→B4     和棋         和棋    和棋    完美        9  吃:安全0/毒1
 40 羊  A2→A3     和棋         和棋    和棋    完美        9  着:胜0/和19/败0
 41 狼  B4→B3     和棋         和棋    和棋    完美        9  吃:安全0/毒0
 42 羊  A3→A2     和棋         和棋    和棋    完美        9  着:胜0/和17/败0
 43 狼  B3→B4     和棋         和棋    和棋    完美        9  吃:安全0/毒1
 44 羊  A4→A3     和棋         和棋    和棋    完美        9  着:胜0/和19/败0
 45 狼  B4→A4     和棋         和棋    和棋    完美        9  吃:安全0/毒0
 46 羊  C4→C5     和棋         和棋    和棋    完美        9  着:胜0/和16/败2
 47 狼  A4→A5     和棋         和棋    和棋    完美        9  吃:安全0/毒0
 48 羊  A3→B3     和棋         和棋    和棋    完美        9  着:胜0/和19/败2
 49 狼  A5→C5吃    和棋         和棋    和棋    完美        8  吃:安全1/毒0
 50 羊  C3→C4     和棋         和棋    和棋    完美        8  着:胜0/和16/败3
 51 狼  D4→D3     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 52 羊  B3→B4     和棋         和棋    和棋    完美        8  着:胜0/和20/败3
 53 狼  C5→D5     和棋         和棋    和棋    完美        8  吃:安全1/毒0
 54 羊  E4→D4     和棋         和棋    和棋    完美        8  着:胜0/和20/败2
 55 狼  D3→D2     和棋         和棋    和棋    完美        8  吃:安全1/毒0
 56 羊  D4→E4     和棋         和棋    和棋    完美        8  着:胜0/和15/败2
 57 狼  D2→D3     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 58 羊  E2→D2     和棋         和棋    和棋    完美        8  着:胜0/和20/败2
 59 狼  D5→D4     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 60 羊  A2→B2     和棋         和棋    和棋    完美        8  着:胜0/和12/败4
 61 狼  D3→C3     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 62 羊  D2→D3     和棋         和棋    和棋    完美        8  着:胜0/和11/败1
 63 狼  D4→D5     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 64 羊  E4→D4     和棋         和棋    和棋    完美        8  着:胜0/和17/败0
 65 狼  C3→B3     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 66 羊  D3→C3     和棋         和棋    和棋    完美        8  着:胜0/和14/败0
 67 狼  D5→E5     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 68 羊  D4→E4     和棋         和棋    和棋    完美        8  着:胜0/和12/败0
 69 狼  E5→D5     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 70 羊  C4→D4     和棋         和棋    和棋    完美        8  着:胜0/和13/败0
 71 狼  D5→C5     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 72 羊  C3→C4     和棋         和棋    和棋    完美        8  着:胜0/和15/败0
 73 狼  C5→D5     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 74 羊  C4→C5     和棋         和棋    和棋    完美        8  着:胜0/和13/败0
 75 狼  B3→C3     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 76 羊  B4→C4     和棋         和棋    和棋    完美        8  着:胜0/和16/败0
 77 狼  C3→D3     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 78 羊  C2→D2     和棋         和棋    和棋    完美        8  着:胜0/和12/败0
 79 狼  C1→C2     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 80 羊  C4→C3     和棋         和棋    和棋    完美        8  着:胜0/和5/败7
 81 狼  D3→E3     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 82 羊  D2→D3     和棋         和棋    和棋    完美        8  着:胜0/和14/败2
 83 狼  E3→E2     和棋         和棋    和棋    完美        8  吃:安全0/毒0
 84 羊  D1→D2     和棋         和棋    和棋    完美        8  着:胜0/和15/败1
 85 狼  C2→C1     和棋         和棋    和棋    完美        8  吃:安全1/毒0
 86 羊  B2→C2     和棋         和棋    和棋    完美        8  着:胜0/和15/败0
 87 狼  C1→D1     和棋         和棋    和棋    完美        8  吃:安全1/毒0
